,Successfulness,Grade,Interaction_quantitative,Interaction_qualitative,Outperforming_partner,Class,Professor,Gender,Motivation,Anxiety,Introversion,Sensing,Feeling,Judging
count,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0
mean,2.43,3.39,2.18,2.09,2.07,2.62,1.93,0.69,20.38,25.8,20.58,22.71,23.33,22.8
std,0.62,0.97,0.65,0.68,0.56,2.11,1.17,0.47,6.27,6.8,5.57,4.54,4.68,5.68
min,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,10.0,8.0,12.0,9.0,9.0
25%,2.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,16.0,21.0,16.0,20.0,20.0,20.0
50%,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,20.0,26.0,21.0,23.0,23.0,23.0
75%,3.0,4.0,3.0,3.0,2.0,4.0,3.0,1.0,24.0,31.0,24.0,25.0,26.0,26.0
max,3.0,5.0,3.0,3.0,3.0,6.0,3.0,1.0,34.0,40.0,37.0,35.0,35.0,37.0
