,Uspesnost,Ocena,Interakcija_kvantitativno,Interakcija_kvalitativno,Outperforming_partner,Razred,Profesor,Spol,Motivacija,Anksioznost,Introvertiranost,Sensing,Feeling,Judging
count,89.000,89.000,89.000,89.000,89.000,89.000,89.000,89.000,89.000,89.000,89.000,89.000,89.000,89.000
mean,2.427,3.393,2.180,2.090,2.067,2.618,1.933,0.685,20.382,25.798,20.584,22.708,23.326,22.798
std,0.620,0.973,0.650,0.685,0.560,2.108,1.166,0.467,6.266,6.803,5.567,4.538,4.680,5.677
min,1.000,2.000,1.000,1.000,1.000,0.000,0.000,0.000,7.000,10.000,8.000,12.000,9.000,9.000
25%,2.000,3.000,2.000,2.000,2.000,1.000,1.000,0.000,16.000,21.000,16.000,20.000,20.000,20.000
50%,2.000,3.000,2.000,2.000,2.000,3.000,2.000,1.000,20.000,26.000,21.000,23.000,23.000,23.000
75%,3.000,4.000,3.000,3.000,2.000,4.000,3.000,1.000,24.000,31.000,24.000,25.000,26.000,26.000
max,3.000,5.000,3.000,3.000,3.000,6.000,3.000,1.000,34.000,40.000,37.000,35.000,35.000,37.000
